customer_name,country,city,sub_channel,product_class,sales,quantity,price,month,year,manager,name_of_sales_rep
RemedyMart,Canada,Calgary,Retail,Antivirals,14099.09,129,127.39,December,2019,Peter White,Laura Adams
HealthZone,Brazil,Rio de Janeiro,Wholesale,Vitamins,40293.35,172,229.41,July,2020,Linda Grey,David Garcia
BioHealth,Australia,Adelaide,Retail,Antivirals,3198.24,68,49.62,February,2018,Sarah Connor,William Lee
RemedyMart,Germany,Rendsburg,Distributor,Antivirals,50377.29,145,366.83,February,2023,Linda Grey,Emily Clark
Apollo Pharmacy,UK,Leeds,Online,Vaccines,54748.93,116,491.88,February,2020,James Goodwill,David Garcia
CurePoint,USA,San Francisco,Online,Vitamins,56050.74,144,419.3,May,2017,Linda Grey,Priya Mehta
LifeCare,Canada,Vancouver,Wholesale,Antibiotics,28087.95,70,350.95,October,2020,James Goodwill,Laura Adams
LifeCare,Germany,Hamburg,Retail,Antibiotics,23913.47,187,117.92,May,2018,Sarah Connor,John Doe
HealthZone,Brazil,Brasília,Online,Vitamins,22290.7,147,180.85,September,2018,Sarah Connor,David Garcia
HealthZone,UK,Liverpool,Retail,Antivirals,33208.55,161,204.81,January,2017,Raj Malhotra,David Garcia
LifeCare,Australia,Sydney,Wholesale,Analgesics,7536.89,104,77.39,December,2020,Sarah Connor,David Garcia
BioHealth,India,Chennai,Distributor,Vaccines,94873.7,178,463.1,April,2024,Linda Grey,Michael Brown
LifeCare,France,Nice,Retail,Analgesics,10506.78,99,121.99,March,2021,Peter White,Sophia Patel
MediStore,India,Chennai,Retail,Vitamins,31964.26,112,282.05,April,2020,Peter White,Michael Brown
BioHealth,India,Delhi,Distributor,Analgesics,1181.8,2,498.16,February,2021,Raj Malhotra,Amit Sharma
PharmaPlus,UK,Manchester,Distributor,Vaccines,93618.76,197,451.2,January,2019,Peter White,William Lee
PharmaPlus,France,Nice,Online,Vaccines,1425.63,9,146.65,November,2018,Linda Grey,Laura Adams
CurePoint,USA,Los Angeles,Wholesale,Antibiotics,54127.98,131,429.6,May,2017,Raj Malhotra,Emily Clark
CurePoint,USA,Houston,Retail,Antivirals,43567.36,161,324.6,July,2019,James Goodwill,Michael Brown
RemedyMart,Germany,Berlin,Wholesale,Analgesics,76991.37,164,450.29,June,2019,Peter White,Sophia Patel
HealthKart,USA,New York,Distributor,Vitamins,7126.08,112,59.72,January,2019,Raj Malhotra,David Garcia
Apollo Pharmacy,India,Rendsburg,Online,Vitamins,12788.46,93,149.12,October,2021,Sarah Connor,Priya Mehta
MediStore,UK,Manchester,Wholesale,Vaccines,71827.65,194,349.03,August,2022,James Goodwill,Robert Wilson
BioHealth,Canada,Montreal,Online,Antibiotics,13123.79,169,96.2,April,2017,Sarah Connor,Robert Wilson
HealthKart,Germany,Berlin,Wholesale,Analgesics,26434.32,142,169.45,February,2021,Raj Malhotra,Michael Brown
RemedyMart,Australia,Perth,Wholesale,Antibiotics,52191.89,128,374.64,April,2023,Raj Malhotra,Michael Brown
RemedyMart,India,Chennai,Online,Analgesics,30922.87,128,288.47,July,2022,Linda Grey,Laura Adams
BioHealth,Brazil,São Paulo,Online,Vaccines,33313.14,115,321.8,March,2023,Linda Grey,David Garcia
HealthKart,USA,Chicago,Retail,Antibiotics,73622.45,158,486.78,April,2023,Sarah Connor,John Doe
MedLife,France,Paris,Distributor,Vaccines,80457.88,182,453.99,May,2023,James Goodwill,William Lee
Apollo Pharmacy,UK,Manchester,Online,Antibiotics,5547.65,21,256.29,June,2017,James Goodwill,Priya Mehta
HealthKart,France,Toulouse,Retail,Vaccines,74238.84,192,433.44,December,2022,Peter White,Amit Sharma
HealthZone,France,Paris,Distributor,Antibiotics,5735.97,48,147.58,February,2018,Linda Grey,Priya Mehta
HealthKart,Canada,Calgary,Wholesale,Analgesics,1841.21,49,31.37,June,2017,Linda Grey,William Lee
HealthZone,Australia,Perth,Retail,Antivirals,87951.88,158,477.43,July,2019,Linda Grey,Emily Clark
HealthZone,India,Bangalore,Retail,Vitamins,44014.5,99,376.38,August,2021,Peter White,Amit Sharma
HealthZone,France,Marseille,Distributor,Antibiotics,24258.13,93,219.81,June,2024,Peter White,Michael Brown
CurePoint,Canada,Ottawa,Retail,Analgesics,40299.6,99,490.36,August,2023,Sarah Connor,Robert Wilson
RemedyMart,USA,Houston,Distributor,Antibiotics,63325.74,160,427.06,May,2021,Linda Grey,Michael Brown
PharmaPlus,Brazil,São Paulo,Distributor,Vitamins,23616.79,128,192.62,December,2023,Raj Malhotra,William Lee
CurePoint,UK,Leeds,Retail,Analgesics,19487.95,54,351.05,May,2024,James Goodwill,John Doe
LifeCare,Australia,Perth,Distributor,Vitamins,2881.5,24,112.37,December,2017,Sarah Connor,William Lee
LifeCare,Canada,Ottawa,Online,Analgesics,11961.7,151,78.64,December,2023,Linda Grey,Michael Brown
PharmaPlus,Canada,Calgary,Retail,Vitamins,24893.39,130,168.05,August,2019,Peter White,Amit Sharma
LifeCare,India,Rendsburg,Retail,Analgesics,45800.69,137,354.22,October,2022,Linda Grey,David Garcia
MediStore,India,Delhi,Distributor,Antibiotics,77694.35,170,406.59,March,2017,Peter White,William Lee
HealthZone,UK,London,Distributor,Vitamins,39446.14,153,309.64,July,2018,Raj Malhotra,Robert Wilson
CurePoint,Brazil,São Paulo,Wholesale,Vaccines,38644.34,135,255.74,December,2019,Raj Malhotra,Sophia Patel
MediStore,Germany,Munich,Retail,Vitamins,2789.28,65,44.76,April,2019,Peter White,Robert Wilson
Apollo Pharmacy,USA,Chicago,Retail,Antivirals,59241.24,142,446.1,May,2021,James Goodwill,Amit Sharma
CurePoint,Germany,Munich,Wholesale,Vitamins,26350.03,92,293.64,May,2023,Raj Malhotra,John Doe
HealthKart,Australia,Sydney,Wholesale,Vaccines,5200.94,191,27.61,September,2019,James Goodwill,David Garcia
PharmaPlus,USA,Chicago,Retail,Analgesics,35133.85,63,491.1,July,2017,Raj Malhotra,David Garcia
HealthZone,France,Paris,Online,Vaccines,1179.3,58,24.95,January,2019,Linda Grey,Emily Clark
MediStore,Brazil,São Paulo,Retail,Antibiotics,11266.68,70,158.6,October,2017,Sarah Connor,Amit Sharma
PharmaPlus,USA,New York,Retail,Antibiotics,29756.27,101,265.9,April,2021,Raj Malhotra,Laura Adams
MedLife,USA,Chicago,Retail,Antivirals,28397.23,108,315.22,December,2022,James Goodwill,John Doe
HealthZone,Australia,Adelaide,Online,Antivirals,11065.46,109,105.25,September,2017,James Goodwill,John Doe
MedLife,USA,Los Angeles,Distributor,Antivirals,34797.64,99,322.34,June,2023,James Goodwill,Amit Sharma
HealthKart,India,Delhi,Wholesale,Vaccines,6847.2,13,485.07,November,2024,Raj Malhotra,Sophia Patel
HealthKart,India,Mumbai,Distributor,Antivirals,53361.91,147,399.64,May,2020,Linda Grey,David Garcia
LifeCare,India,Bangalore,Wholesale,Vitamins,31027.09,92,374.58,January,2024,Peter White,Emily Clark
LifeCare,Brazil,São Paulo,Online,Antibiotics,5640.21,117,49.63,September,2020,Peter White,Laura Adams
BioHealth,India,Mumbai,Distributor,Vaccines,25605.41,140,210.39,March,2021,James Goodwill,Robert Wilson
BioHealth,Canada,Ottawa,Distributor,Vitamins,203.15,1,226.75,April,2019,Raj Malhotra,Emily Clark
CurePoint,India,Delhi,Distributor,Analgesics,45220.91,118,360.15,June,2021,Raj Malhotra,Priya Mehta
HealthZone,Canada,Toronto,Wholesale,Vitamins,38013.94,117,322.75,April,2024,James Goodwill,Priya Mehta
LifeCare,France,Marseille,Wholesale,Vaccines,56489.39,192,281.63,November,2019,Linda Grey,David Garcia
HealthZone,USA,Houston,Online,Antibiotics,24145.0,195,131.39,November,2023,James Goodwill,John Doe
RemedyMart,Canada,Vancouver,Wholesale,Vitamins,1241.12,86,17.05,July,2024,James Goodwill,Amit Sharma
RemedyMart,USA,New York,Retail,Vaccines,3581.45,69,56.14,December,2024,Peter White,Robert Wilson
RemedyMart,Brazil,Fortaleza,Retail,Antibiotics,66713.72,190,354.79,January,2018,James Goodwill,Sophia Patel
RemedyMart,Brazil,Rio de Janeiro,Wholesale,Vitamins,66962.25,176,405.39,December,2021,Sarah Connor,John Doe
MediStore,India,Delhi,Online,Vaccines,21693.0,101,205.27,November,2019,Linda Grey,John Doe
LifeCare,Brazil,São Paulo,Wholesale,Antivirals,27735.22,69,444.47,December,2017,James Goodwill,Amit Sharma
LifeCare,India,Bangalore,Wholesale,Antivirals,43755.28,138,316.67,August,2022,Sarah Connor,Sophia Patel
HealthKart,Australia,Melbourne,Retail,Analgesics,294.47,1,274.29,February,2017,Sarah Connor,Laura Adams
HealthKart,USA,Chicago,Retail,Vaccines,753.91,16,44.58,February,2020,James Goodwill,Sophia Patel
CurePoint,Germany,Munich,Distributor,Vaccines,46154.63,128,321.84,January,2018,Raj Malhotra,William Lee
CurePoint,France,Nice,Distributor,Analgesics,29634.43,140,200.2,January,2021,Sarah Connor,William Lee
HealthKart,USA,Houston,Retail,Antivirals,74020.23,161,407.49,November,2019,James Goodwill,Laura Adams
LifeCare,India,Delhi,Distributor,Antibiotics,2831.23,12,199.19,March,2020,Peter White,Priya Mehta
RemedyMart,India,Bangalore,Online,Antivirals,7490.17,74,111.28,December,2019,Raj Malhotra,David Garcia
CurePoint,Australia,Melbourne,Wholesale,Analgesics,575.24,12,59.38,July,2024,Raj Malhotra,Michael Brown
HealthKart,UK,Birmingham,Wholesale,Vaccines,6503.17,35,174.91,January,2017,Sarah Connor,Sophia Patel
HealthZone,Canada,Vancouver,Retail,Antibiotics,31911.91,93,423.99,February,2018,James Goodwill,David Garcia
Apollo Pharmacy,Canada,Ottawa,Online,Antibiotics,22278.51,162,137.74,December,2024,James Goodwill,Priya Mehta
MediStore,Germany,Frankfurt,Online,Vaccines,21432.4,58,351.4,March,2018,James Goodwill,William Lee
MedLife,Germany,Rendsburg,Online,Antivirals,4433.93,157,29.2,September,2019,Peter White,Emily Clark
Apollo Pharmacy,Canada,Montreal,Distributor,Vitamins,17493.69,164,96.95,September,2018,James Goodwill,Laura Adams
LifeCare,Australia,Melbourne,Retail,Vitamins,61300.8,192,292.2,February,2017,Peter White,Michael Brown
PharmaPlus,France,Marseille,Online,Antivirals,7687.82,36,192.29,February,2018,Peter White,David Garcia
RemedyMart,Canada,Ottawa,Online,Vaccines,67739.12,152,434.89,September,2022,Peter White,William Lee
MedLife,Brazil,Rio de Janeiro,Distributor,Antivirals,2907.69,12,220.21,March,2023,James Goodwill,Laura Adams
RemedyMart,USA,New York,Distributor,Vaccines,6957.38,99,60.53,February,2019,James Goodwill,David Garcia
RemedyMart,Germany,Hamburg,Distributor,Vitamins,15011.79,62,253.31,February,2018,James Goodwill,Sophia Patel
CurePoint,India,Bangalore,Retail,Analgesics,60477.58,141,448.81,August,2024,Linda Grey,Robert Wilson
LifeCare,India,Delhi,Wholesale,Antivirals,76481.78,140,479.69,April,2017,Peter White,Robert Wilson
BioHealth,UK,Manchester,Online,Antibiotics,1767.84,9,166.46,October,2019,James Goodwill,Robert Wilson
CurePoint,UK,London,Online,Antibiotics,31456.32,128,246.44,February,2023,Peter White,Sophia Patel
HealthKart,USA,New York,Online,Antibiotics,30346.11,144,229.74,April,2020,Linda Grey,Sophia Patel
HealthZone,Australia,Perth,Distributor,Antivirals,6224.62,25,281.31,March,2022,Linda Grey,Laura Adams
PharmaPlus,USA,Houston,Online,Antibiotics,23529.99,53,397.87,February,2019,Peter White,Amit Sharma
Apollo Pharmacy,USA,New York,Distributor,Analgesics,60450.33,109,466.16,December,2017,Peter White,Amit Sharma
CurePoint,India,Rendsburg,Distributor,Vaccines,38728.87,142,279.27,August,2023,Raj Malhotra,Sophia Patel
CurePoint,India,Mumbai,Distributor,Antibiotics,4330.56,75,67.36,December,2023,Sarah Connor,Robert Wilson
RemedyMart,Brazil,São Paulo,Wholesale,Vitamins,35650.25,74,420.11,May,2017,Sarah Connor,David Garcia
MedLife,USA,New York,Online,Antibiotics,1361.51,7,218.78,December,2024,Sarah Connor,John Doe
CurePoint,Brazil,Salvador,Retail,Antivirals,61205.75,137,412.71,May,2017,Linda Grey,Michael Brown
BioHealth,India,Chennai,Wholesale,Antivirals,1168.11,5,261.53,September,2021,Peter White,Sophia Patel
HealthKart,UK,Manchester,Distributor,Vitamins,24940.14,136,193.39,September,2020,Peter White,Laura Adams
HealthZone,Brazil,Salvador,Distributor,Vitamins,82117.12,145,474.15,February,2018,Linda Grey,Sophia Patel
MediStore,Canada,Montreal,Distributor,Antibiotics,25968.77,132,181.61,April,2022,Linda Grey,Robert Wilson
Apollo Pharmacy,USA,Los Angeles,Wholesale,Vaccines,7598.67,19,390.8,February,2022,Linda Grey,Priya Mehta
HealthKart,Brazil,Brasília,Retail,Vitamins,11185.37,91,131.87,February,2022,Sarah Connor,Sophia Patel
PharmaPlus,Germany,Frankfurt,Retail,Vitamins,25483.96,126,251.39,December,2021,Linda Grey,David Garcia
CurePoint,USA,Los Angeles,Wholesale,Antivirals,4014.18,126,37.59,November,2017,Sarah Connor,Robert Wilson
MedLife,Canada,Montreal,Wholesale,Antivirals,27665.35,61,413.17,April,2023,Raj Malhotra,Emily Clark
MediStore,Australia,Brisbane,Retail,Antibiotics,45921.2,131,295.85,October,2020,Linda Grey,Sophia Patel
HealthZone,Canada,Vancouver,Wholesale,Vaccines,38841.16,191,244.08,October,2023,Sarah Connor,Amit Sharma
MedLife,Australia,Melbourne,Retail,Vitamins,22815.82,161,119.56,May,2017,James Goodwill,Emily Clark
HealthZone,India,Rendsburg,Online,Antibiotics,22005.65,44,489.17,February,2018,Sarah Connor,John Doe
Apollo Pharmacy,USA,Los Angeles,Online,Analgesics,21225.63,47,446.66,November,2021,Sarah Connor,Laura Adams
HealthZone,Australia,Perth,Retail,Antibiotics,54810.9,164,281.39,January,2024,Sarah Connor,Robert Wilson
Apollo Pharmacy,Germany,Hamburg,Wholesale,Antivirals,11839.27,146,91.45,April,2019,Sarah Connor,William Lee
CurePoint,Germany,Munich,Online,Analgesics,34978.46,143,232.73,September,2017,James Goodwill,David Garcia
HealthZone,Germany,Berlin,Online,Vitamins,25613.44,118,198.26,July,2020,James Goodwill,Amit Sharma
RemedyMart,India,Bangalore,Distributor,Antibiotics,4738.95,12,479.76,October,2018,James Goodwill,Amit Sharma
MediStore,Brazil,Rio de Janeiro,Retail,Vaccines,24936.89,102,233.27,June,2018,Peter White,Priya Mehta
PharmaPlus,Australia,Perth,Online,Vaccines,788.89,8,93.14,April,2017,Peter White,Michael Brown
LifeCare,India,Chennai,Distributor,Analgesics,25740.49,136,183.14,June,2021,Raj Malhotra,Michael Brown
MedLife,India,Mumbai,Distributor,Vaccines,58807.39,101,487.45,March,2023,Linda Grey,Sophia Patel
RemedyMart,Australia,Melbourne,Wholesale,Vitamins,48115.58,191,272.69,May,2021,Raj Malhotra,Sophia Patel
HealthKart,USA,New York,Retail,Vitamins,9812.8,157,75.26,January,2024,James Goodwill,William Lee
CurePoint,USA,Houston,Distributor,Vitamins,69455.26,134,475.4,September,2022,Linda Grey,Sophia Patel
HealthZone,Canada,Vancouver,Wholesale,Antivirals,18027.27,47,460.4,December,2024,Sarah Connor,Emily Clark
MediStore,Germany,Hamburg,Online,Vaccines,10660.58,30,434.37,April,2017,Sarah Connor,Michael Brown
HealthZone,Brazil,São Paulo,Retail,Antibiotics,27965.88,119,211.52,October,2019,Linda Grey,Amit Sharma
MediStore,Brazil,São Paulo,Wholesale,Antivirals,62009.78,146,493.77,July,2019,Peter White,William Lee
MediStore,Australia,Melbourne,Retail,Antivirals,30696.93,85,377.29,June,2022,Raj Malhotra,Robert Wilson
MedLife,UK,Leeds,Retail,Antibiotics,28310.35,59,422.64,July,2017,Peter White,William Lee
MediStore,Germany,Rendsburg,Online,Analgesics,2345.46,98,28.04,March,2018,James Goodwill,Laura Adams
BioHealth,Australia,Melbourne,Retail,Antivirals,6423.14,149,37.62,December,2017,Raj Malhotra,Laura Adams
RemedyMart,Brazil,Rio de Janeiro,Online,Antivirals,118034.43,197,499.86,February,2017,Raj Malhotra,Robert Wilson
PharmaPlus,Germany,Hamburg,Retail,Vaccines,58563.97,181,296.72,March,2022,Sarah Connor,Priya Mehta
Apollo Pharmacy,Brazil,São Paulo,Online,Vitamins,10674.18,83,131.2,July,2019,Sarah Connor,David Garcia
LifeCare,India,Mumbai,Online,Antibiotics,13332.75,110,133.21,January,2020,Peter White,Michael Brown
Apollo Pharmacy,India,Chennai,Wholesale,Analgesics,521.64,4,122.03,March,2023,Peter White,David Garcia
RemedyMart,Canada,Calgary,Online,Vaccines,957.71,32,32.98,February,2023,James Goodwill,Michael Brown
Apollo Pharmacy,France,Toulouse,Distributor,Vitamins,13331.15,39,339.07,March,2019,Raj Malhotra,Laura Adams
MediStore,India,Bangalore,Online,Vaccines,45462.9,118,417.37,May,2017,Peter White,Sophia Patel
HealthKart,France,Marseille,Distributor,Analgesics,55442.25,193,280.43,April,2018,James Goodwill,Laura Adams
HealthKart,UK,Manchester,Retail,Antivirals,16911.49,57,299.08,March,2019,Linda Grey,William Lee
MediStore,USA,Los Angeles,Online,Antibiotics,60144.51,151,380.02,March,2021,James Goodwill,Sophia Patel
RemedyMart,India,Mumbai,Wholesale,Vitamins,30999.87,66,404.47,April,2020,Raj Malhotra,John Doe
HealthZone,USA,San Francisco,Distributor,Antivirals,3092.4,192,17.13,May,2022,James Goodwill,Sophia Patel
MedLife,UK,London,Retail,Antivirals,32243.9,98,321.96,September,2017,Peter White,Amit Sharma
HealthZone,USA,Houston,Retail,Vitamins,76171.92,179,453.04,February,2017,Raj Malhotra,Michael Brown
LifeCare,UK,Liverpool,Online,Vaccines,44632.31,166,230.95,August,2023,Raj Malhotra,Amit Sharma
RemedyMart,Australia,Sydney,Wholesale,Antivirals,10813.55,30,314.82,April,2017,Linda Grey,Michael Brown
MedLife,France,Nice,Retail,Antibiotics,52370.23,133,400.27,June,2024,James Goodwill,Robert Wilson
Apollo Pharmacy,UK,Leeds,Retail,Antibiotics,32893.86,145,251.14,March,2019,Peter White,Priya Mehta
LifeCare,USA,Los Angeles,Wholesale,Antivirals,33725.3,69,490.22,June,2024,Linda Grey,Sophia Patel
HealthZone,France,Toulouse,Retail,Vitamins,36170.84,126,320.37,December,2024,Peter White,Michael Brown
MediStore,India,Chennai,Online,Analgesics,30923.6,115,273.26,February,2020,Sarah Connor,William Lee
LifeCare,France,Marseille,Online,Antivirals,5778.6,80,84.43,February,2022,Linda Grey,John Doe
CurePoint,Germany,Munich,Distributor,Analgesics,847.61,8,98.23,October,2024,Peter White,Priya Mehta
LifeCare,USA,San Francisco,Distributor,Vaccines,11118.73,25,449.43,February,2017,Peter White,Emily Clark
HealthKart,Canada,Montreal,Online,Antibiotics,47120.28,93,486.82,March,2022,Linda Grey,Emily Clark
MediStore,India,Rendsburg,Wholesale,Analgesics,1328.72,51,30.03,September,2017,Peter White,Priya Mehta
HealthZone,Germany,Munich,Wholesale,Vitamins,13483.35,92,180.33,May,2022,Linda Grey,Amit Sharma
HealthKart,Canada,Toronto,Distributor,Vaccines,4761.8,70,69.11,June,2022,Raj Malhotra,Priya Mehta
PharmaPlus,France,Lyon,Distributor,Antivirals,34345.48,90,448.17,May,2017,Sarah Connor,David Garcia
BioHealth,Australia,Adelaide,Retail,Vaccines,6311.27,45,167.58,July,2018,Linda Grey,David Garcia
PharmaPlus,India,Mumbai,Wholesale,Antivirals,12432.67,47,317.67,April,2019,Linda Grey,Emily Clark
PharmaPlus,UK,Leeds,Retail,Antibiotics,7769.43,94,86.92,November,2024,Linda Grey,David Garcia
Apollo Pharmacy,France,Nice,Retail,Antivirals,13244.45,81,145.67,June,2022,Raj Malhotra,John Doe
Apollo Pharmacy,India,Rendsburg,Wholesale,Vitamins,40854.04,113,302.67,September,2019,Sarah Connor,David Garcia
RemedyMart,UK,Birmingham,Wholesale,Analgesics,8946.18,47,191.53,September,2020,Linda Grey,Amit Sharma
HealthZone,Canada,Ottawa,Distributor,Analgesics,5261.51,28,190.77,December,2018,James Goodwill,John Doe
MediStore,USA,San Francisco,Wholesale,Antibiotics,3797.16,109,40.55,September,2020,Linda Grey,Robert Wilson
PharmaPlus,France,Nice,Distributor,Antivirals,47883.36,115,359.54,October,2022,Linda Grey,John Doe
LifeCare,Canada,Calgary,Distributor,Vitamins,24417.22,107,270.74,June,2019,Linda Grey,Robert Wilson
BioHealth,USA,Chicago,Retail,Vaccines,9236.5,38,270.98,May,2021,James Goodwill,Robert Wilson
HealthZone,Germany,Hamburg,Online,Antibiotics,18737.8,119,194.87,October,2020,Raj Malhotra,Emily Clark
BioHealth,USA,San Francisco,Wholesale,Vaccines,65233.94,185,421.95,August,2017,Sarah Connor,Michael Brown
MediStore,UK,Leeds,Distributor,Vitamins,10005.48,126,68.68,September,2018,Linda Grey,John Doe
PharmaPlus,Brazil,Salvador,Online,Antibiotics,9560.16,25,342.76,April,2020,Raj Malhotra,David Garcia
MediStore,USA,San Francisco,Distributor,Antibiotics,27604.42,109,245.0,April,2023,Peter White,John Doe
PharmaPlus,India,Chennai,Wholesale,Antivirals,9965.26,34,283.29,April,2021,Sarah Connor,John Doe
MediStore,Australia,Melbourne,Retail,Vaccines,15179.19,83,195.6,March,2024,Peter White,Sophia Patel
HealthKart,USA,Houston,Online,Antibiotics,60433.86,180,326.5,July,2018,Peter White,Emily Clark
Apollo Pharmacy,India,Chennai,Online,Vitamins,43588.48,184,254.14,June,2024,Linda Grey,David Garcia
